business_id,business_name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories
PZ-LZzSlhSe9utkQYU8pFg,Carluccio's Tivoli Gardens,"1775 E Tropicana Ave, Ste 29",Las Vegas,NV,89119,36.1000163,-115.1285285,4.0,40,"Restaurants, Italian"
tstimHoMcYbkSC4eBA1wEg,Maria's Mexican Restaurant & Bakery,6055 E Lake Mead Blvd,Las Vegas,NV,89156,36.1956146,-115.0405289,4.5,184,"Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife"
kANF0dbeoW34s2vwh6Umfw,Dairy Queen,6125 Spring Mountain Rd,Las Vegas,NV,89146,36.1250311,-115.2256202,2.0,33,"Fast Food, Food, Restaurants, Ice Cream & Frozen Yogurt"
X8mtoSxY8whtmbDlj0D3Aw,Imperial Asian Buffet,4343 N Rancho Dr,Las Vegas,NV,89030,36.238596,-115.2333307,2.0,4,"Restaurants, Chinese"
bJP4l_BGq2CudEu0m-wNjg,Artisan Fine Dining Room,"Artisan Hotel, 1501 W Sahara Ave",Las Vegas,NV,89102,36.1436722,-115.1697916,2.0,3,"Restaurants, Pizza, Italian, American (New)"
v7ZFEEqJBg_r8NCwHRP_2A,Bistro Divino,241 W Charleston Blvd,Las Vegas,NV,89102,36.1582642,-115.1579672,4.5,3,"Food, Pizza, Wine Bars, Bars, Restaurants, Nightlife"
6fPQJq4f_yiq1NHn0fd11Q,La Creperie,3655 Las Vegas Blvd S,Las Vegas,NV,89109,36.1125266402,-115.1713514328,3.5,535,"French, Restaurants, Creperies"
k-dDZvTeLysoJvjHI-qr9g,Feast Buffet,2411 W Sahara Ave,Las Vegas,NV,89102,36.1421161808,-115.1742515629,3.0,287,"Buffets, Restaurants"
4n81G-pmC3rfhmaPsbwYKg,"Vince Neil's Tatuado | Eat, Drink, Party",360 E Tropicana Ave,Las Vegas,NV,89169,36.1020497898,-115.1562883,4.5,3,"Bars, Sports Bars, Nightlife, Beer, Wine & Spirits, Restaurants, Food, American (Traditional)"
PWjgwphd2prhtqTPWwLbXw,Stage Deli Of Las Vegas,"3500 Las Vegas Blvd S, Ste E11",Las Vegas,NV,89109,36.1173267,-115.1765011,3.5,28,"Sandwiches, Restaurants, Delis, Desserts, Food"
eY98EH_PHGnJVaJ7t2UpoQ,Pita Pit,1263 Silverado Ranch Blvd,Las Vegas,NV,89183,36.012764,-115.136056,4.0,77,"Middle Eastern, Restaurants, Vegetarian, Juice Bars & Smoothies, Ethnic Food, Salad, Food, Sandwiches, Specialty Food"
iwGhazq9eP51PSerTrMrwg,Mr G's Pub & Grub,"3342 E Sandhill Rd, Ste 11",Las Vegas,NV,89121,36.1290404,-115.0912939,4.0,27,"Dive Bars, Food, Bars, Pubs, Restaurants, Nightlife, American (Traditional), Beer, Wine & Spirits"
0G83H_zoum-Q4bWU2olTqQ,Bonjour Bakery & Deli,"4012 S Rainbow Blvd, Ste J",Las Vegas,NV,89103,36.1161693,-115.2418516,4.5,39,"Restaurants, Food, Delis, Desserts, Bakeries, Coffee & Tea"
xXtWrRKn8A708BfaNs1nZw,"Coffee, Tea, or Me","2600 W Sahara Ave, Ste 121",Las Vegas,NV,89102,36.1452198,-115.1766512,4.0,19,"Sandwiches, Juice Bars & Smoothies, Coffee & Tea, Food, Donuts, Ice Cream & Frozen Yogurt, Restaurants"
wdsGP5rJinx0J5GcGzPQUw,TJ's Steakhouse,3000 Paradise Rd,Las Vegas,NV,89109,36.1362575,-115.1512526,4.0,60,"Steakhouses, Restaurants"
SZ5KO1KNiwtrktKo5mpuLA,Empress Court,3570 Las Vegas Blvd,Las Vegas,NV,89109,36.1161559,-115.1750576,3.5,21,"Seafood, Chinese, Steakhouses, Restaurants, Italian"
LEOvXK3lMEfjnex3CPvrng,Albinas Italian American Bakery,3035 E Tropicana Ave,Las Vegas,NV,89121,36.0992176,-115.1096599,4.5,11,"Food, Bakeries, Restaurants"
k2b3niokS_tosjah_rzCPw,Metro Pizza,6720 Sky Pointe Dr,Las Vegas,NV,89131,36.2836689,-115.2702841,3.5,303,"Restaurants, Pizza"
dusNIzdCaH6EoLl2hRy6cQ,Chipotle Mexican Grill,3475 Las Vegas Blvd S,Las Vegas,NV,89109,36.120095,-115.171769,3.5,115,"Fast Food, Mexican, Restaurants"
CTN5Z3fs3jFHfyma8XxzVg,Paradise Boba Tea and Smoothie,1910 Village Center Cir,Las Vegas,NV,89134,36.1931903,-115.3037626,3.5,21,"Restaurants, Food, Coffee & Tea, Juice Bars & Smoothies"
hgQOESYp7CF4LnNI90XEiw,800 Degrees,2535 Las Vegas Blvd S,Las Vegas,NV,89109,36.1423694,-115.156034,3.5,296,"Pizza, Salad, Restaurants, Italian"
F06m2yQSPHIrb1IT7heYeQ,Rainbow Kitchen,7537 S Rainbow Blvd,Las Vegas,NV,89139,36.0514499584,-115.2441147342,4.0,101,"Chinese, Seafood, Cantonese, Noodles, Restaurants"
gFjHMjQXn5pbObxJupiuPA,Bar Charlie,"The Palazzo Hotel, 3325 Las Vegas Blvd S",Las Vegas,NV,89109,36.124423,-115.146372,5.0,14,"Japanese, Restaurants"
X3s0BN02lS6EigSnJaSyDw,Teriwoki,"9500 S Eastern Ave, Ste 150",Las Vegas,NV,89123,36.0164931,-115.1170689,3.5,4,"Restaurants, Food, Do-It-Yourself Food, Chinese, Asian Fusion"
q4i-GbjeSp6ucBDXGE9DqA,Imsiam Thai Restaurant and Noodle,4105 W Sahara Ave,Las Vegas,NV,89102,36.1440225,-115.195896,4.5,66,"Thai, Noodles, Soup, Restaurants"
