business_id,varieties,ambience,management,service,value,business_name,rating
_0x7W6fizaPP76xNBxBLAQ,4.130177515,4.1875,4.209302326,3.948717949,3.666666667,Stephano's Greek & Mediterranean Grill,4
_2fjiOHfu-S7fS2n4wfySw,4.225806452,3.766666667,4.125,3.714285714,2,Jersey Mike's Subs,4
_3FxLxdg1unUQc3QqIgJuA,3.677290837,3.704402516,3.813559322,3.8,3.25,T-Bones Chophouse,3.5
_4tCeVrLRmI18BscMiHr7Q,4.275862069,4.225806452,4.4,4.333333333,4.333333333,Asmara Restaurant,4.5
_6UaHEnDDbUla3Pa3VVu3Q,4.672727273,4.680851064,4.377777778,4.846153846,4.333333333,Asia Creamery,4.5
_7kVnn5_19ckuFPS9PCrpQ,3.777777778,3.72972973,3.837209302,3.777777778,4,Elevation Burger,3.5
_8VkSb_Mryb6bHQxSWB7Pg,3.781990521,3.686666667,3.81875,3.549019608,3.818181818,Swish Shabu Shabu,4
_8yxceldCT7oe0wJC-yDPA,3.549019608,3.396825397,3.242857143,3.605263158,5,Benjarong Authentic Thai Cuisine,3.5
_Ad2ZKhUl-krJFpaZ1FI8g,4.185714286,4.352941176,4.425531915,4.75,4,Nabe Hotpot,4
_cs_J4j8XXyBgihJs83qUg,1.654320988,1.775862069,1.633333333,1.952380952,2.666666667,Church's Chicken,2
_e5KDltp_0XNkylTYR1V2w,4.046875,4.377777778,4.288888889,3.727272727,4,Pho So 1,4
_eDVVS8wwXcdllaW6nfLyg,4.223684211,4.396226415,4.217391304,4.291666667,4.666666667,Paid In Full,4.5
_ewxwEwJM-IYfIYnKpQOZw,4.131578947,4.45,4.08,3.8,0,Mexicali Raspados,4
_gMR_YdsMwwKy63-UwjdnA,3.971428571,3.615384615,3.931034483,3.666666667,2,Ohana Hawaiian BBQ,4
_hML_SleB40KkUrMHOZ_-Q,4.068965517,3.967320261,3.901554404,3.97260274,3.4,Rx Boiler Room,4
_ixV2SWDy7w8jzEAHp85qA,3.722826087,3.637037037,3.649253731,3.659574468,3.727272727,First Food & Bar,3.5
_j2EtQtgLuXGRBfbM5YwZA,3.350237718,3.263707572,3.363839286,3.470967742,3.192307692,Noodle Asia,3.5
_JbuDLG7SFEtiCVDT1M0CQ,3.8515625,3.772727273,3.771428571,3.65625,3.5,Bowlology,4
_Jt9CLSL2sqF-yCNel9D-g,4.441176471,4.318181818,4.34375,4.363636364,5,Casa Robles,4.5
_K2_Yf_ltfhuJ2JGCOs85g,2.485294118,2.535714286,2.795454545,2.176470588,2.75,S7 Buffet,2.5
_kb6GT4qawjwq47OsQ52xw,2.548172757,2.424870466,2.520618557,2.50617284,2.714285714,Paradise Garden Buffet,2.5
_Kd0kQ8RF70hJ1ykLqCRyQ,3.377777778,3.104895105,3.343949045,3.440677966,2.333333333,Cafe Rio,3
