business_id,varieties,ambience,management,service,value
_0x7W6fizaPP76xNBxBLAQ,4.130177515,4.1875,4.209302326,3.948717949,3.666666667
_2fjiOHfu-S7fS2n4wfySw,4.225806452,3.766666667,4.125,3.714285714,2
_3FxLxdg1unUQc3QqIgJuA,3.677290837,3.704402516,3.813559322,3.8,3.25
_4tCeVrLRmI18BscMiHr7Q,4.275862069,4.225806452,4.4,4.333333333,4.333333333
_6UaHEnDDbUla3Pa3VVu3Q,4.672727273,4.680851064,4.377777778,4.846153846,4.333333333
_7kVnn5_19ckuFPS9PCrpQ,3.777777778,3.72972973,3.837209302,3.777777778,4
_8VkSb_Mryb6bHQxSWB7Pg,3.781990521,3.686666667,3.81875,3.549019608,3.818181818
_8yxceldCT7oe0wJC-yDPA,3.549019608,3.396825397,3.242857143,3.605263158,5
_Ad2ZKhUl-krJFpaZ1FI8g,4.185714286,4.352941176,4.425531915,4.75,4
_cs_J4j8XXyBgihJs83qUg,1.654320988,1.775862069,1.633333333,1.952380952,2.666666667
_e5KDltp_0XNkylTYR1V2w,4.046875,4.377777778,4.288888889,3.727272727,4
_eDVVS8wwXcdllaW6nfLyg,4.223684211,4.396226415,4.217391304,4.291666667,4.666666667
_ewxwEwJM-IYfIYnKpQOZw,4.131578947,4.45,4.08,3.8,0
_gMR_YdsMwwKy63-UwjdnA,3.971428571,3.615384615,3.931034483,3.666666667,2
_hML_SleB40KkUrMHOZ_-Q,4.068965517,3.967320261,3.901554404,3.97260274,3.4
_ixV2SWDy7w8jzEAHp85qA,3.722826087,3.637037037,3.649253731,3.659574468,3.727272727
_j2EtQtgLuXGRBfbM5YwZA,3.350237718,3.263707572,3.363839286,3.470967742,3.192307692
_JbuDLG7SFEtiCVDT1M0CQ,3.8515625,3.772727273,3.771428571,3.65625,3.5
_Jt9CLSL2sqF-yCNel9D-g,4.441176471,4.318181818,4.34375,4.363636364,5
_K2_Yf_ltfhuJ2JGCOs85g,2.485294118,2.535714286,2.795454545,2.176470588,2.75
_kb6GT4qawjwq47OsQ52xw,2.548172757,2.424870466,2.520618557,2.50617284,2.714285714
_Kd0kQ8RF70hJ1ykLqCRyQ,3.377777778,3.104895105,3.343949045,3.440677966,2.333333333
_kdpjoGrIzA64E6aXHA66w,3.890243902,3.698717949,3.901734104,3.716666667,3.272727273
_paJE9yQfSvo25BKBQrKZA,2.450980392,2.769230769,3.133333333,2.454545455,1.5
_PQ1cKw_ZtKrXNxCMgIeYA,3.423076923,3.272727273,3.461538462,2.909090909,4
_QvGAqMmrUIlxpby2Ul5Dg,3.365591398,3.423076923,3.231481481,3.441860465,3.2
_RiwESa2w64ls6y_5tE4CA,4.267175573,4.382978723,4.16,4.178571429,4.666666667
_R-rjgz4Kwi4f3u0clFeKg,2.658536585,2.824324324,2.571428571,2.535714286,1.333333333
_sh6mIBWZis66mAjkjN8Qg,3.703225806,3.486725664,3.701149425,3.852941176,3.909090909
_TlhZftKs1aXCYX1rLWAGw,4.205882353,4.15625,3.972222222,3.6,3
_TSaVr53qiEGqMkwyEMaQ,4.158671587,4.238636364,4.215053763,3.983870968,4.666666667
_vvK0PUe7KJtntpRVVAj4Q,4.212765957,4.05,3.878787879,3.285714286,5
_w5hBpkjHs5_Hv3pLeHtIw,3.866666667,3.919083969,3.909612626,3.961864407,4.102040816
_Xzz-PChcdJ1862CK6dRyw,4.088607595,4.20754717,4.033333333,4,4
_Y7090jnL5EezPib1ZVF1A,3.142857143,3,2.763157895,3.294117647,3.666666667
0_aeYE2-VbsZts_UpILgDw,4.007215007,4.037117904,4.067484663,4.092485549,3.886792453
0_mJttUgHIzC-NO18gcgBA,4.198630137,4.311827957,3.752380952,4.065217391,4.1875
01Ov9eDxKRY5k6ImMdiWLQ,3.241758242,3.053571429,3.12,2.842105263,2.875
01SiPgdiOskMC5bUJoyy_g,3.86746988,4.046875,3.935483871,3.761904762,3.5
01VPJkcU0m8WzlA7dCEpVQ,4.296969697,4.403846154,4.384615385,4.375,4.454545455
02pL_Xj3sTO_lHcWqUcwKA,4.074257426,4.171171171,4.081632653,4.2,3.846153846
03icrim6SfEQJlejDMbzsA,3.806451613,3.853658537,3.813953488,3.444444444,5
065c76tt1dXBNmoGBymUgQ,4.114754098,3.938271605,4.021978022,4.034482759,4.153846154
06MlxbtB4ZYeg_ri02RIAQ,2.5,2.8125,2.588235294,2.7,4
07AZL5XenCQ_-op_onKLdw,4.012578616,3.976415094,4,3.845238095,3.742857143
07gh-AImcEcWQ2bew-jprg,3.537037037,3.621621622,3.5,3.846153846,4
0ahghcpWQVkm4lEFwx-peA,3.2875,3.50617284,3.217948718,2.791666667,2.428571429
0AQnRQw34IQW9-1gJkYnMA,2.933628319,2.972911964,3.029545455,2.982248521,3.093023256
0aw3HbxkZ4G7pkPYt10fhA,3.159574468,3.192307692,3.220338983,2.818181818,2.25
0c6PQILCLwRZ8FIB4AEsGw,3.426470588,3.530612245,3.618181818,3.904761905,3.5
0CB7YB1qRSWLQvMbHw3Fmw,4.022222222,4.094202899,4.034682081,3.738461538,4.035714286
0d0i0FaJq1GIeW1rS2D-5w,4.367553866,4.390781563,4.366548043,4.409090909,4.294117647
0dr1FgqQSEMbaTu9SDqiIg,4.044776119,3.826086957,3.802197802,3.825,4.75
0EgYXYjt2XJL4hlsKnzrcw,4.348514851,4.386227545,4.317204301,4.390070922,4.485714286
0EpnzIpeFvhISkxMTIv9WA,4.164383562,3.857142857,4,3.789473684,3.5
0FHfkDxKSeDuyAEeaY6X-Q,3.447368421,3.722222222,3.755555556,3.444444444,5
0G1y7uV7w1D2uziS4Lt_Dw,3.574074074,3.938461538,3.47311828,3.931034483,3.625
0gWg-kqRLEQbhui8b_v2Xw,3.833333333,3.571428571,4.126760563,4.185185185,4.333333333
0Hcks5q-DgJbDlmEWolx4A,3.766081871,3.584070796,3.729508197,3.717391304,3.272727273
0i9S0BejjRv0ZDwdO9XymA,4.551724138,4.541666667,4.523809524,4.647058824,3
0InA3Ffj8MxyQV9hgsyYcQ,3.795833333,3.89261745,3.759259259,3.924528302,3.45
0jtRI7hVMpQHpUVtUy4ITw,3.966442953,4.051020408,4.076923077,4.282608696,4.083333333
0LGnU7V3nepi8NUNzyQOXw,3.555555556,3.022222222,3.333333333,4,2.5
0m99JzzybBddbP9mr2y5XA,3.828571429,3.677419355,3.75,4.066666667,2.5
0nlocywsFHQmEt8_xbHNiw,3.414634146,3.743589744,3.53125,3.333333333,1.5
0NmTwqYEQiKErDv4a55obg,4.107344633,4.120087336,4.134808853,4.214723926,4.220338983
0OdZXIKQypu6vplpxFilsA,3.681481481,3.711340206,3.504587156,3.694444444,3.444444444
0p27EjcNwTI7Ey4K_MNPww,2.76,3.142857143,2.838709677,3.176470588,4
0qet57CmMA5qUm6gPFUTpg,3.011494253,3.032258065,3.017857143,3.111111111,3.111111111
0QHMAUi6NdOUZ1ckXq0-sA,2.492248062,2.85443038,2.659340659,2.493670886,2.5
0qPNeqLuKE88rKbIbSZDpg,3.488095238,3.574468085,3.462264151,3.384615385,3.153846154
0QSnurP5Ibor2zepJmEIlw,3.804123711,3.833333333,3.640625,3.434782609,2.8
0S4WFZJZhVeM3aAqKjLz1w,3.73480663,3.408333333,3.674418605,3.375,3.6
0TljdWRIDQzlp4siHQ_BAQ,2.159090909,2.230769231,2.357142857,2.125,1.333333333
0ueq5zB3NqLbh93KYYNIHQ,3.653061224,3.75,3.738095238,3.555555556,3
0uR48n5SYcLE_DLcjONZPg,3.571428571,3.666666667,3.811320755,3.3,3.5
0VjHFdczi6Nln_nn8bucJQ,4.128205128,4.017857143,4.14516129,4.08,4.2
0w3BdEOxvwKTpypwbN5kiQ,3.526960784,3.5,3.443298969,3.473684211,3.827586207
0WoQQlMXVIDEgI0xNdENKA,3.318302387,3.334801762,3.339285714,3.340206186,3.222222222
0wW9PasC8pw8SY7rlY3ZKw,4.539007092,4.616161616,4.532110092,4.609756098,4.75
0xdpv5CPpbUUch7JKBG98Q,3.328947368,3.524590164,3.142857143,2.9375,3.5
0XEqyl_lVaJNHRKxNcjJZg,4.404530744,4.348484848,4.41588785,4.346666667,4.192307692
0xtBEP5zCu1153SoqqemLw,4.2,4.127659574,4.147540984,3.956521739,4.666666667
0xvdC8F0HmFpAFkJk6nXLg,4.5,4.503448276,4.379679144,4.461538462,4.333333333
0xzmIBsJQc5eUNLucFrZ0Q,3.588235294,3.766666667,3.475609756,3.807692308,3.125
0YG_kM5caZhtwd6nbnei6A,4.113924051,4.282608696,4.258064516,4.153846154,4.125
0zoXYHq82haayMaV952jEQ,3.891774892,3.835365854,3.884615385,3.875,3.941176471
16Fplxu-OwVmTEFxQAUP4g,3.496240602,3.576923077,3.549450549,3.410714286,3.25
16tWXenJ1wTqugXJU7yiZg,3.758865248,3.690721649,3.693467337,3.410958904,3.791666667
1bALsE6aZE23mGV2WPxN_g,3.968253968,4.083333333,3.86440678,4.047619048,3.4
1CaM8eIvl41l4f3V-V-cAw,4.75,4.723404255,4.641509434,4.789473684,4.5
1CP8aJa8ILlfM5deroar0Q,3.191919192,3.254545455,3.111111111,3.724137931,4.142857143
1CR2ddUcjYYwRd5JLtiRrw,3.692082111,3.610576923,3.706666667,3.62962963,3.942857143
1CTapYK3FHvpiJaQhOaaIw,3.519230769,3.444444444,3.457142857,4.090909091,4
1CWMNSTRMejdSyXBG2chNg,3.4625,3.490909091,3.666666667,3.555555556,4.333333333
1Df5WnLX3DqN6ymlhqznaQ,4.338709677,4.345744681,4.32748538,4.29787234,4.263157895
1FAvxOUOGGyZoYNlAXACag,2.635869565,2.925925926,2.510948905,2.428571429,2.727272727
1g29d62cEojB-7mX7p8AzQ,4.549019608,4.35483871,4.432432432,4.615384615,4.166666667
1gU1ZNbcvk0puuUQjbl23w,4.176,4.285714286,4.025641026,4,4.166666667
1jpYP-JNOEYCMIzP4OlGuQ,4.257234727,4.212669683,4.134782609,4.184210526,4.074074074
