business_id,varieties,ambience,management,service,value
_0x7W6fizaPP76xNBxBLAQ,169,112,129,39,6
_2fjiOHfu-S7fS2n4wfySw,31,30,24,7,2
_3FxLxdg1unUQc3QqIgJuA,251,159,177,55,8
_4tCeVrLRmI18BscMiHr7Q,58,31,40,15,3
_6UaHEnDDbUla3Pa3VVu3Q,55,47,45,13,3
_7kVnn5_19ckuFPS9PCrpQ,54,37,43,9,1
_8VkSb_Mryb6bHQxSWB7Pg,211,150,160,51,11
_8yxceldCT7oe0wJC-yDPA,102,63,70,38,1
_Ad2ZKhUl-krJFpaZ1FI8g,70,51,47,20,6
_cs_J4j8XXyBgihJs83qUg,81,58,60,21,3
_e5KDltp_0XNkylTYR1V2w,64,45,45,11,6
_eDVVS8wwXcdllaW6nfLyg,76,53,69,24,3
_ewxwEwJM-IYfIYnKpQOZw,38,20,25,10,0
_gMR_YdsMwwKy63-UwjdnA,35,26,29,6,1
_hML_SleB40KkUrMHOZ_-Q,232,153,193,73,10
_ixV2SWDy7w8jzEAHp85qA,184,135,134,47,11
_j2EtQtgLuXGRBfbM5YwZA,631,383,448,155,26
_JbuDLG7SFEtiCVDT1M0CQ,128,88,105,32,4
_Jt9CLSL2sqF-yCNel9D-g,34,22,32,11,1
_K2_Yf_ltfhuJ2JGCOs85g,68,56,44,17,4
_kb6GT4qawjwq47OsQ52xw,301,193,194,81,7
_Kd0kQ8RF70hJ1ykLqCRyQ,225,143,157,59,6
_kdpjoGrIzA64E6aXHA66w,246,156,173,60,11
_paJE9yQfSvo25BKBQrKZA,51,26,30,11,2
_PQ1cKw_ZtKrXNxCMgIeYA,52,44,39,11,2
_QvGAqMmrUIlxpby2Ul5Dg,186,104,108,43,5
_RiwESa2w64ls6y_5tE4CA,131,94,100,28,3
_R-rjgz4Kwi4f3u0clFeKg,123,74,91,28,3
_sh6mIBWZis66mAjkjN8Qg,155,113,87,34,11
_TlhZftKs1aXCYX1rLWAGw,34,32,36,5,1
_TSaVr53qiEGqMkwyEMaQ,271,176,186,62,27
_vvK0PUe7KJtntpRVVAj4Q,47,20,33,7,2
_w5hBpkjHs5_Hv3pLeHtIw,990,655,697,236,49
_Xzz-PChcdJ1862CK6dRyw,79,53,60,23,2
_Y7090jnL5EezPib1ZVF1A,56,41,38,17,9
0_aeYE2-VbsZts_UpILgDw,693,458,489,173,53
0_mJttUgHIzC-NO18gcgBA,146,93,105,46,16
01Ov9eDxKRY5k6ImMdiWLQ,91,56,75,19,8
01SiPgdiOskMC5bUJoyy_g,83,64,62,21,10
01VPJkcU0m8WzlA7dCEpVQ,165,104,130,40,11
02pL_Xj3sTO_lHcWqUcwKA,202,111,147,50,13
03icrim6SfEQJlejDMbzsA,62,41,43,9,2
065c76tt1dXBNmoGBymUgQ,122,81,91,29,13
06MlxbtB4ZYeg_ri02RIAQ,36,32,34,10,4
07AZL5XenCQ_-op_onKLdw,318,212,256,84,35
07gh-AImcEcWQ2bew-jprg,54,37,52,13,5
0ahghcpWQVkm4lEFwx-peA,80,81,78,24,7
0AQnRQw34IQW9-1gJkYnMA,678,443,440,169,43
0aw3HbxkZ4G7pkPYt10fhA,94,52,59,22,4
0c6PQILCLwRZ8FIB4AEsGw,68,49,55,21,4
0CB7YB1qRSWLQvMbHw3Fmw,225,138,173,65,28
0d0i0FaJq1GIeW1rS2D-5w,789,499,562,198,51
0dr1FgqQSEMbaTu9SDqiIg,134,92,91,40,4
0EgYXYjt2XJL4hlsKnzrcw,505,334,372,141,35
0EpnzIpeFvhISkxMTIv9WA,73,42,49,19,6
0FHfkDxKSeDuyAEeaY6X-Q,76,36,45,18,2
0G1y7uV7w1D2uziS4Lt_Dw,108,65,93,29,8
0gWg-kqRLEQbhui8b_v2Xw,114,49,71,27,6
0Hcks5q-DgJbDlmEWolx4A,171,113,122,46,11
0i9S0BejjRv0ZDwdO9XymA,58,48,42,17,2
0InA3Ffj8MxyQV9hgsyYcQ,240,149,162,53,20
0jtRI7hVMpQHpUVtUy4ITw,149,98,104,46,12
0LGnU7V3nepi8NUNzyQOXw,63,45,48,9,2
0m99JzzybBddbP9mr2y5XA,35,31,24,15,2
0nlocywsFHQmEt8_xbHNiw,41,39,32,9,2
0NmTwqYEQiKErDv4a55obg,708,458,497,163,59
0OdZXIKQypu6vplpxFilsA,135,97,109,36,9
0p27EjcNwTI7Ey4K_MNPww,50,28,31,17,1
0qet57CmMA5qUm6gPFUTpg,87,62,56,27,9
0QHMAUi6NdOUZ1ckXq0-sA,258,158,182,79,16
0qPNeqLuKE88rKbIbSZDpg,168,94,106,26,13
0QSnurP5Ibor2zepJmEIlw,97,60,64,23,5
0S4WFZJZhVeM3aAqKjLz1w,181,120,129,40,10
0TljdWRIDQzlp4siHQ_BAQ,44,26,28,8,3
0ueq5zB3NqLbh93KYYNIHQ,49,24,42,18,1
0uR48n5SYcLE_DLcjONZPg,56,45,53,10,2
0VjHFdczi6Nln_nn8bucJQ,78,56,62,25,5
0w3BdEOxvwKTpypwbN5kiQ,408,254,291,95,29
0WoQQlMXVIDEgI0xNdENKA,377,227,280,97,27
0wW9PasC8pw8SY7rlY3ZKw,141,99,109,41,12
0xdpv5CPpbUUch7JKBG98Q,76,61,70,16,8
0XEqyl_lVaJNHRKxNcjJZg,309,198,214,75,26
0xtBEP5zCu1153SoqqemLw,90,47,61,23,9
0xvdC8F0HmFpAFkJk6nXLg,230,145,187,65,24
0xzmIBsJQc5eUNLucFrZ0Q,102,60,82,26,8
0YG_kM5caZhtwd6nbnei6A,79,46,62,26,8
0zoXYHq82haayMaV952jEQ,231,164,156,56,17
16Fplxu-OwVmTEFxQAUP4g,266,156,182,56,16
16tWXenJ1wTqugXJU7yiZg,282,194,199,73,24
1bALsE6aZE23mGV2WPxN_g,63,48,59,21,5
1CaM8eIvl41l4f3V-V-cAw,76,47,53,19,4
1CP8aJa8ILlfM5deroar0Q,99,55,72,29,7
1CR2ddUcjYYwRd5JLtiRrw,341,208,225,81,35
1CTapYK3FHvpiJaQhOaaIw,52,45,35,11,7
1CWMNSTRMejdSyXBG2chNg,80,55,54,18,6
1Df5WnLX3DqN6ymlhqznaQ,248,188,171,47,19
1FAvxOUOGGyZoYNlAXACag,184,108,137,42,11
1g29d62cEojB-7mX7p8AzQ,51,31,37,13,6
1gU1ZNbcvk0puuUQjbl23w,125,77,78,35,12
1jpYP-JNOEYCMIzP4OlGuQ,311,221,230,76,27
1KhBzrqmU164bss64jR5uA,161,100,122,53,13
1M1A-s6BbnzK3eURw01rZQ,38,28,21,9,3
-1m9o3vGRA8IBPNvNqKLmA,147,85,94,36,10
1ME-zOtZ9HApzJUOpR0-vQ,53,40,30,12,1
1MrSwj8i2VEBHdp3IsWCpQ,75,36,53,19,4
1nM-ES-xVqL0yQGTCwtd-Q,41,32,22,11,2
1SCETxRnwaYo2aBC3fi4SA,135,86,85,35,13
1SE9f6TEV5XhnTuuK01xwA,101,62,78,25,4
1SqLPgnZEVeVYDM-AuoFhg,362,220,242,85,25
1UvrUFk3BXAmueL1KQaKPQ,40,33,31,9,2
-1vfRrlnNnNJ5boOVghMPA,39,31,35,12,3
1V-mRUpVnIRq6GYymT_uyw,46,29,34,7,3
1VTezD8PLosh-FeNxSRQ7g,45,30,31,13,2
1WBVqmo7tgF0z0eGf4fPhQ,266,167,178,70,16
