topic,term,weight,
0,fry,0.017649103,Varieties
0,chicken,0.01695293,
0,burger,0.011832925,
0,order,0.020186778,
0,cheese,0.007208135,
0,sauce,0.007309761,
0,delicious,0.008779692,
0,rice,0.006250137,
0,pizza,0.008005996,
0,salad,0.005459681,
1,love,0.025678322,Ambience
1,place,0.040493023,
1,great,0.02361642,
1,vega,0.01929594,
1,sushi,0.016509056,
1,amaze,0.012289381,
1,favorite,0.010734799,
1,pizza,0.011911244,
1,eat,0.015901688,
1,recommend,0.008946409,
2,order,0.029999087,Management
2,wait,0.019792954,
2,time,0.022560839,
2,minute,0.01217661,
2,table,0.010424576,
2,server,0.008243609,
2,long,0.007960304,
2,make,0.010715524,
2,didnt,0.008386804,
2,seat,0.006588494,
3,service,0.06793157,Service
3,poison,0.000273048,
3,court,0.000181998,
3,staff,0.005511445,
3,comfort,0.000139482,
3,wicked,0.000118631,
3,truck,0.000101514,
3,band,9.26E-05,
3,buffett,5.04E-05,
3,sevice,4.34E-05,
4,food,0.122017674,Value
4,good,0.07167371,
4,service,0.075551316,
4,place,0.04803472,
4,price,0.03304086,
4,pretty,0.02188675,
4,buffet,0.016927728,
4,nice,0.016222583,
4,eat,0.015601844,
4,portion,0.00947414,
